Population,Type,City,State/Province,Country,Latitude,Longitude,IP Address,Average Ping Time (ms),Location 
3095000,International,Abuja,,Nigeria,9.076479,7.398574,41.217.23.154,224.941,"Abuja, Nigeria"
4397000,International,Nairobi,,Kenya,-1.292066,36.821945,196.223.162.130,324.796,"Nairobi, Kenya"
1485000,International,Harare,,Zimbabwe,-17.825167,31.03351,197.211.209.236,259.324,"Harare, Zimbabwe"
3360000,International,Casablanca,,Morocco,33.573109,-7.589843,81.192.64.22,115.108,"Casablanca, Morocco"
3331000,International,Dubai,,United Arab Emirates,25.204849,55.270782,94.200.27.186,206.422,"Dubai, United Arab Emirates"
1450000,International,Abu Dhabi,,United Arab Emirates,24.453884,54.377342,94.56.151.22,247.966,"Abu Dhabi, United Arab Emirates"
15520000,International,İstanbul,,Turkey,41.00824,28.978359,176.216.92.5,134.525,"İstanbul, Turkey"
796947,International,Doha,,Qatar,25.285446,51.53104,185.247.91.218,205.267,"Doha, Qatar"
5274321,International,Khartoum,,Sudan,15.500654,32.559898,5.62.63.138,68.19,"Khartoum, Sudan"
4273000,International,Kabul,,Afghanistan,34.555347,69.207489,223.26.22.37,265.77,"Kabul, Afghanistan"
1452000,International,Ulaanbaatar,,Mongolia,47.886398,106.905746,66.181.167.232,276.912,"Ulaanbaatar, Mongolia"
1780000,International,Manila,,Philippines,14.599512,120.984222,124.6.188.3,232.337,"Manila, Philippines"
2078000,International,Phnom Penh,,Cambodia,11.556374,104.928207,96.9.79.193,250.951,"Phnom Penh, Cambodia"
8054000,International,Hanoi,,Vietnam,21.027763,105.83416,113.190.253.229,239.197,"Hanoi, Vietnam"
1002000,International,Nur-Sultan,,Kazakhstan,51.177601,71.432999,88.204.180.222,178.667,"Nur-Sultan, Kazakhstan"
948477,International,Vientiane,,Laos,17.96216,102.611633,103.138.142.2,248.644,"Vientiane, Laos"
8281000,International,Bangkok,Central Thailand,Thailand,13.756331,100.501762,180.180.247.43,257.301,"Bangkok, Central Thailand, Thailand"
1015000,International,Islamabad,Islamabad Capital Territory,Pakistan,33.684422,73.047882,103.209.52.250,209.471,"Islamabad, Islamabad Capital Territory, Pakistan"
1808000,International,Kuala Lumpur,,Malaysia,3.139003,101.686852,202.133.101.116,256.259,"Kuala Lumpur, Malaysia"
2646000,International,Taipei,,Taiwan,25.032969,121.565414,220.130.145.66,191.208,"Taipei, Taiwan"
9608000,International,Jakarta,,Indonesia,-6.17511,106.865036,103.47.134.195,232.886,"Jakarta, Indonesia"
3645000,International,Berlin,,Germany,52.520008,13.404954,148.251.194.74,111.784,"Berlin, Germany"
2161000,International,Paris,,France,48.856613,2.352222,46.218.9.73,114.899,"Paris, France"
1765000,International,Warsaw,Mazovia,Poland,52.229675,21.01223,83.144.93.10,119.778,"Warsaw, Mazovia, Poland"
1756000,International,Budapest,,Hungary,47.497913,19.040236,46.107.30.182,132.546,"Budapest, Hungary"
1897000,International,Vienna,,Austria,48.208176,16.373819,83.218.176.140,98.825,"Vienna, Austria"
8982000,International,London,,United Kingdom,51.507351,-0.127758,164.215.108.133,82.426,"London, United Kingdom"
504718,International,Lisbon,,Portugal,38.722252,-9.139337,62.48.250.106,104.823,"Lisbon, Portugal"
2873000,International,Rome,,Italy,41.902782,12.496365,78.7.251.131,172.925,"Rome, Italy"
4008000,International,Amman,,Jordan,31.945368,35.928371,188.247.70.49,150.039,"Amman, Jordan"
6437,Rural,Dahlonega,Georgia,USA,34.5318,-83.9718,75.90.244.63,85.487,"Dahlonega, Georgia, USA"
2260,Rural,Victor,Idaho,USA,43.6148,-111.1259,207.183.186.139,128.464,"Victor, Idaho, USA"
4670,Rural,Illustat,,Greenland,69.2167,-51.1,5.62.60.162,123.171,"Illustat, Greenland"
22085,Rural,Fairhope,Alabama,USA,87.9033,30.523,69.85.201.218,69.382,"Fairhope, Alabama, USA"
